"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"847","Gpbp1l1",1.77311840830237e-07,-2.42230936257261,0.533,0.875,4.97526155678255e-06,"Gpbp1l1"
"848","Zswim3",0.000557392325648543,-2.42278924688769,0.149,0.375,0.00755937536460574,"Zswim3"
"849","Calcoco2",1.33871164746584e-08,-2.42676833471199,0.501,0.875,4.80590919128237e-07,"Calcoco2"
"850","Fahd2a",0.00164116094062436,-2.43655749268552,0.057,0.208,0.0183077565097677,"Fahd2a"
"851","Plaat3",2.30021149129296e-05,-2.43826958823077,0.325,0.625,0.000459008143228446,"Plaat3"
"852","Clp1",2.70908935698882e-08,-2.44861369121895,0.501,0.875,8.11452593288656e-07,"Clp1"
"853","Ddit4",0.00606641139222583,-2.45888366028502,0.154,0.333,0.049556457145528,"Ddit4"
"854","Aqp3",0.000140480833451286,-2.46248068851399,0.105,0.333,0.00224386343245473,"Aqp3"
"855","Ak4",0.000211238454174665,-2.46535585667752,0.312,0.542,0.00323980066837311,"Ak4"
"856","Id3",0.00153797804949513,-2.47362424764473,0.532,0.708,0.0173282803776578,"Id3"
"857","Mob3b",9.46097394387893e-08,-2.4739497881197,0.246,0.625,2.71715461482343e-06,"Mob3b"
"858","Sord",5.29836037923735e-07,-2.48938938823868,0.251,0.625,1.41615117654543e-05,"Sord"
"859","Pramef8",1.77340415291918e-05,-2.49692178173432,0.069,0.292,0.000361266350873537,"Pramef8"
"860","Slc25a31",0.00491562851799738,-2.51372775130818,0.092,0.25,0.0429077538159164,"Slc25a31"
"861","Stk35",0.000940572862840647,-2.52817734268237,0.195,0.417,0.0113950130041579,"Stk35"
"862","Tinf2",0.000456201849652502,-2.53366063956122,0.226,0.5,0.00637594321742385,"Tinf2"
"863","C9orf72",0.000966821304233827,-2.53736414283265,0.103,0.292,0.0116235632795449,"C9orf72"
"864","Megf11",8.52930612591468e-06,-2.54024310072826,0.131,0.417,0.000182644366705076,"Megf11"
"865","Rtkn",0.000142713401533118,-2.54486159333934,0.081,0.292,0.00227456277720955,"Rtkn"
"866","Dock9",0.000567594437553467,-2.55858506463205,0.338,0.583,0.00766933185133361,"Dock9"
"867","Slc1a1",0.00202132444645905,-2.55862199524791,0.058,0.208,0.0217693670347689,"Slc1a1"
"868","Mcm9",0.0013780899268733,-2.57185238755517,0.316,0.5,0.0157203139866925,"Mcm9"
"869","Fkbp14",0.00399205810120968,-2.59151817032353,0.044,0.167,0.0364536627234528,"Fkbp14"
"870","Uap1",3.08308870452128e-07,-2.60066710620844,0.36,0.75,8.44074771123799e-06,"Uap1"
